tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,3001,NULL,28.5,,,,,,
NULL,2681,NULL,22.1,,,,,,
NULL,2855,NULL,42.4,,,,,,
NULL,2522,NULL,34.3,,,,,,
NULL,3034,NULL,12.2,,,,,,
NULL,4789,NULL,13,,,,,,
NULL,1489,NULL,17.9,,,,,,
NULL,2215,NULL,19.8,,,,,,
NULL,2439,NULL,22.3,,,,,,
NULL,2330,NULL,17.9,,,,,,
NULL,3656,NULL,24.4,,,,,,
NULL,3166,NULL,31.7,,,,,,
NULL,2434,NULL,24.5,,,,,,
NULL,2747,NULL,14.6,,,,,,
NULL,3060,NULL,5.9,,,,,,
NULL,4160,NULL,38,,,,,,
NULL,2141,NULL,14.1,,,,,,
NULL,1546,NULL,11.6,,,,,,
NULL,2929,NULL,12.2,,,,,,
NULL,4013,NULL,8.4,,,,,,
NULL,4905,NULL,4.8,,,,,,
NULL,4035,NULL,6.4,,,,,,
NULL,6685,NULL,3.5,,,,,,
NULL,2564,NULL,2.5,,,,,,
NULL,2965,NULL,5,,,,,,
NULL,5194,NULL,6.7,,,,,,
NULL,2922,NULL,8.1,,,,,,
NULL,2228,NULL,19.1,,,,,,
NULL,3568,NULL,22.5,,,,,,
NULL,3095,NULL,23.2,,,,,,
NULL,2169,NULL,13,,,,,,
NULL,6984,NULL,14.9,,,,,,
NULL,6564,NULL,11,,,,,,
NULL,4676,NULL,6.5,,,,,,
NULL,5151,NULL,17.7,,,,,,
NULL,3481,NULL,7.4,,,,,,
NULL,2589,NULL,14.9,,,,,,
NULL,4088,NULL,10.6,,,,,,
NULL,8558,NULL,4.6,,,,,,
NULL,4563,NULL,12.2,,,,,,
NULL,4259,NULL,7.8,,,,,,
NULL,2584,NULL,10.3,,,,,,
NULL,2651,NULL,14.6,,,,,,
NULL,4266,NULL,5.3,,,,,,
NULL,6263,NULL,18.7,,,,,,
NULL,5463,NULL,16.6,,,,,,
NULL,2850,NULL,14.3,,,,,,
NULL,5719,NULL,11.4,,,,,,
NULL,4185,NULL,4.4,,,,,,
NULL,6182,NULL,9.2,,,,,,
